match_id,player,row,deuce_wide,deuce_middle,deuce_t,ad_wide,ad_middle,ad_t,err_net,err_wide,err_deep,err_wide_deep,err_foot,err_unknown
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,2,2,1,3,7,3,1,6,3,9,0,0,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,Total,15,2,25,25,3,12,11,3,16,0,0,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,1,14,1,14,12,0,12,0,0,0,0,0,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,2,1,1,11,13,3,0,11,3,16,0,0,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,Total,12,3,12,20,1,4,9,3,9,0,0,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,1,12,2,7,9,0,3,0,0,0,0,0,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,2,0,1,5,11,1,1,9,3,9,0,0,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,Total,5,5,13,10,0,8,5,5,8,0,0,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,1,4,3,6,3,0,7,0,0,0,0,0,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,2,1,2,7,7,0,1,5,5,8,0,0,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,Total,10,1,12,15,1,4,7,5,7,0,0,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,1,9,1,6,6,0,3,0,0,0,0,0,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,2,1,0,6,9,1,1,7,5,7,0,0,0
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,Total,15,2,13,9,2,14,19,4,14,0,0,0
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,1,8,1,4,6,0,5,0,0,0,0,0,0
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,2,7,1,9,3,2,9,19,4,14,0,0,0
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,Total,13,5,11,15,2,10,15,4,3,0,0,0
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,1,13,2,7,4,0,8,0,0,0,0,0,0
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,2,0,3,4,11,2,2,15,4,3,0,0,0
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Botic Van De Zandschulp,Total,19,19,10,7,19,21,18,4,16,1,0,0
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Botic Van De Zandschulp,1,14,7,9,7,14,12,0,0,0,0,0,0
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Botic Van De Zandschulp,2,5,12,1,0,5,9,18,4,16,1,0,0
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Carlos Alcaraz,Total,15,12,12,15,11,5,11,2,12,3,0,0
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Carlos Alcaraz,1,12,2,5,11,9,4,0,0,0,0,0,0
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Carlos Alcaraz,2,3,10,7,4,2,1,11,2,12,3,0,0
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Li Tu,Total,20,2,40,39,4,16,32,9,12,2,0,0
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Li Tu,1,14,0,29,15,0,14,0,0,0,0,0,0
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Li Tu,2,6,2,11,24,4,2,32,9,12,2,0,0
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Carlos Alcaraz,Total,14,11,25,19,9,12,18,4,16,0,0,0
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Carlos Alcaraz,1,14,6,9,9,7,11,0,0,0,0,0,0
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Carlos Alcaraz,2,0,5,16,10,2,1,18,4,16,0,0,0
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,Total,26,12,22,20,18,18,26,8,28,1,0,0
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,1,11,5,16,17,2,14,0,0,0,0,0,0
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,2,15,7,6,3,16,4,26,8,28,1,0,0
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,Total,13,23,17,19,15,15,22,6,24,2,0,0
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,1,10,10,5,10,9,12,0,0,0,0,0,0
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,2,3,13,12,9,6,3,22,6,24,2,0,0
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Felix Auger Aliassime,Total,14,7,7,15,5,7,7,10,6,1,0,0
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Felix Auger Aliassime,1,12,4,4,8,1,6,0,0,0,0,0,0
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Felix Auger Aliassime,2,2,3,3,7,4,1,7,10,6,1,0,0
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Carlos Alcaraz,Total,8,13,0,14,1,2,8,1,6,3,0,0
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Carlos Alcaraz,1,6,10,0,5,0,1,0,0,0,0,0,0
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Carlos Alcaraz,2,2,3,0,9,1,1,8,1,6,3,0,0
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,Total,8,15,14,25,5,2,8,5,11,0,0,0
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,1,6,9,8,16,5,2,0,0,0,0,0,0
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,2,2,6,6,9,0,0,8,5,11,0,0,0
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,Total,12,10,10,17,4,6,12,7,8,1,0,0
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,1,10,3,5,10,1,5,0,0,0,0,0,0
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,2,2,7,5,7,3,1,12,7,8,1,0,0
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,Total,38,5,25,32,6,25,13,9,20,5,0,0
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,1,21,2,19,23,4,21,0,0,0,0,0,0
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,2,17,3,6,9,2,4,13,9,20,5,0,0
