match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,wide,body,t
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,Total,41,32,4,11,0,22,15,5,21
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,1,23,23,3,7,0,16,7,3,13
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,2,18,9,1,4,0,6,8,2,8
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,Total,43,20,0,8,0,12,25,2,16
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,1,25,15,0,6,0,8,15,1,9
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,2,18,5,0,2,0,4,10,1,7
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,Total,55,37,7,11,0,24,24,4,27
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,1,24,20,5,6,0,14,14,1,9
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,2,31,17,2,5,0,10,10,3,18
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,Total,56,43,5,9,0,26,28,7,21
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,1,34,25,5,6,0,16,17,2,15
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,2,22,18,0,3,0,10,11,5,6
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Botic Van De Zandschulp,Total,95,62,2,2,11,21,26,38,31
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Botic Van De Zandschulp,1,63,49,2,2,11,19,21,21,21
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Botic Van De Zandschulp,2,32,13,0,0,0,2,5,17,10
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Carlos Alcaraz,Total,70,40,2,0,13,22,30,23,17
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Carlos Alcaraz,1,43,26,2,0,13,18,23,11,9
20240829-M-US_Open-R64-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Carlos Alcaraz,2,27,14,0,0,0,4,7,12,8
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Li Tu,Total,121,63,2,3,15,32,59,6,56
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Li Tu,1,72,42,2,3,12,21,29,0,43
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Li Tu,2,49,21,0,0,3,11,30,6,13
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Carlos Alcaraz,Total,90,67,8,5,8,37,33,20,37
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Carlos Alcaraz,1,56,45,8,5,7,27,23,13,20
20240827-M-US_Open-R128-Li_Tu-Carlos_Alcaraz,Carlos Alcaraz,2,34,22,0,0,1,10,10,7,17
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,Total,116,76,15,3,16,51,46,30,40
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,1,65,51,14,3,15,37,28,7,30
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,2,51,25,1,0,1,14,18,23,10
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,Total,102,71,7,1,15,37,32,38,32
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,1,56,43,6,1,14,24,20,19,17
20240815-M-Cincinnati_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,2,46,28,1,0,1,13,12,19,15
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Felix Auger Aliassime,Total,55,25,2,0,10,15,29,12,14
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Felix Auger Aliassime,1,35,21,2,0,9,13,20,5,10
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Felix Auger Aliassime,2,20,4,0,0,1,2,9,7,4
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Carlos Alcaraz,Total,38,28,2,0,9,15,22,14,2
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Carlos Alcaraz,1,22,17,2,0,5,10,11,10,1
20240802-M-Olympics-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Carlos Alcaraz,2,16,11,0,0,4,5,11,4,1
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,Total,69,48,5,0,10,29,33,20,16
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,1,46,30,5,0,8,19,22,14,10
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,2,23,18,0,0,2,10,11,6,6
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,Total,59,36,2,0,9,17,29,14,16
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,1,34,26,2,0,9,14,20,4,10
20240729-M-Olympics-R32-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,2,25,10,0,0,0,3,9,10,6
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,Total,131,81,5,0,18,37,70,11,50
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,1,90,59,4,0,16,24,44,6,40
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,2,41,22,1,0,2,13,26,5,10
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,Total,113,77,6,0,21,45,47,33,33
20240712-M-Wimbledon-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,1,64,47,5,0,19,32,27,17,20
