match_id,player,row,pts,won_1+,won_2+,won_3+,won_4+,won_5+,won_6+,won_7+,won_8+,won_9+,won_10+
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,J J Wolf,1,35,45.7%,36.7%,45.8%,35.0%,46.7%,27.3%,42.9%,42.9%,50.0%,0.0%
20240526-M-Roland_Garros-R128-Carlos_Alcaraz-J_J_Wolf,J J Wolf,2,28,28.6%,25.9%,33.3%,17.6%,30.0%,12.5%,14.3%,0.0%,0.0%,0.0%
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Andrey Rublev,1,64,79.7%,69.8%,76.9%,62.5%,78.9%,63.6%,87.5%,66.7%,66.7%,50.0%
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Andrey Rublev,2,20,50.0%,37.5%,54.5%,16.7%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Carlos Alcaraz,1,57,59.6%,45.2%,59.4%,38.1%,66.7%,42.9%,60.0%,60.0%,75.0%,66.7%
20240501-M-Madrid_Masters-QF-Andrey_Rublev-Carlos_Alcaraz,Carlos Alcaraz,2,22,77.3%,70.6%,70.6%,64.3%,75.0%,66.7%,85.7%,75.0%,75.0%,66.7%
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Alexander Shevchenko,1,33,45.5%,30.8%,34.8%,16.7%,21.4%,21.4%,37.5%,37.5%,50.0%,40.0%
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Alexander Shevchenko,2,22,22.7%,15.0%,17.6%,17.6%,25.0%,10.0%,11.1%,11.1%,14.3%,0.0%
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Carlos Alcaraz,1,27,66.7%,47.1%,66.7%,50.0%,80.0%,50.0%,50.0%,50.0%,100.0%,100.0%
20240426-M-Madrid_Masters-R64-Alexander_Shevchenko-Carlos_Alcaraz,Carlos Alcaraz,2,11,54.5%,50.0%,62.5%,57.1%,57.1%,50.0%,100.0%,100.0%,100.0%,-
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Grigor Dimitrov,1,35,77.1%,65.2%,71.4%,60.0%,75.0%,57.1%,66.7%,50.0%,50.0%,33.3%
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Grigor Dimitrov,2,21,47.6%,35.3%,50.0%,33.3%,42.9%,33.3%,50.0%,33.3%,100.0%,100.0%
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Carlos Alcaraz,1,34,55.9%,42.3%,50.0%,35.3%,46.2%,30.0%,37.5%,28.6%,50.0%,50.0%
20240328-M-Miami_Masters-QF-Grigor_Dimitrov-Carlos_Alcaraz,Carlos Alcaraz,2,22,59.1%,43.8%,63.6%,50.0%,57.1%,50.0%,75.0%,50.0%,50.0%,0.0%
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,1,30,66.7%,58.3%,66.7%,53.3%,61.5%,50.0%,55.6%,42.9%,42.9%,33.3%
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,2,11,27.3%,27.3%,33.3%,14.3%,25.0%,25.0%,25.0%,25.0%,33.3%,33.3%
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,1,38,76.3%,67.9%,70.4%,57.9%,64.7%,53.8%,77.8%,60.0%,100.0%,100.0%
20240326-M-Miami_Masters-R32-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,2,9,44.4%,44.4%,50.0%,42.9%,60.0%,60.0%,60.0%,50.0%,50.0%,33.3%
20240326-M-Miami_Masters-R16-Lorenzo_Musetti-Carlos_Alcaraz,Lorenzo Musetti,1,40,62.5%,46.4%,50.0%,40.9%,64.3%,37.5%,60.0%,0.0%,0.0%,0.0%
20240326-M-Miami_Masters-R16-Lorenzo_Musetti-Carlos_Alcaraz,Lorenzo Musetti,2,19,36.8%,29.4%,35.7%,35.7%,41.7%,30.0%,42.9%,20.0%,20.0%,20.0%
20240326-M-Miami_Masters-R16-Lorenzo_Musetti-Carlos_Alcaraz,Carlos Alcaraz,1,35,74.3%,60.9%,73.7%,54.5%,100.0%,100.0%,100.0%,100.0%,100.0%,-
